socket-4-piece-on-off-switch-with-uno-threads-grounded,TRUE,active,SKCOUGNDBR,brass,,19,18.00,,$0.00,170.0007504,"SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED",Sundial Wire,,Sockets,"4-piece metal sockets, grounded sockets, on-off turn knob sockets, sockets, UNO sockets","<div id=""product-detail"">
<p>This is a 4-piece heavy brass socket with an on/off turn knob and UNO threads available in brass and black, dark antique brass, and nickel finishes. </p>
<p>The ground wire goes through a hole in the underside of the cap. It wire goes through the hole into the ground outlet protruding from the outside of the cap. The ground outlet has a set screw to hold the ground wire inside it.</p>
<h2>Attributes</h2>
<div class=""product-attribute attribute-ul""><span class=""product-attribute-name attribute-ul-name""><strong></strong></span></div>
<div class=""product-attribute attribute-made-in""><span class=""product-attribute-value attribute-made-in-value""><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span></span></div>
<div class=""product-attribute attribute-made-in""><span class=""product-attribute-value attribute-made-in-value""><span class=""product-attribute-name attribute-made-in-name""><strong>Made in:</strong></span><span> </span>China<br><span><strong>Height:</strong> 2.25""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></span></div>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-switch-with-uno-threads-grounded,,active,SKCOUGNDBZ,dark antique brass,,37,18.00,,$0.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-on-off-switch-with-uno-threads-grounded,,active,SKCOUGNDNK,nickel,,22,18.00,,$0.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-4-piece-with-on-off-switch-and-uno-threads,,active,SKCOUNK,nickel,,19,18.00,7.00,$133.00,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-cover,,active,SKCOVAB,Antique Brass,,20,2.50,1.99,$39.80,56.69904625,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-cover,,active,SKCOVBK,Black,,42,2.50,1.52,$63.84,56.69904625,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-cover,TRUE,active,SKCOVBR,Polished Brass,,26,2.50,1.48,$38.48,56.69904625,Socket Cover,Sundial Wire,,,"new 03 20, socket cover","<p>This socket cover slides over a keyless socket to give a beautiful, modern style to a pendant.</p>
<p>Here's a look at how the covers go onto the socket, the socket shown here being the <a title=""Keyless Porcelain Socket, Grounded"" href=""https://sundialwire.com/collections/porcelain-sockets/products/socket-porcelain-keyless-grounded"">Keyless Porcelain Socket, Grounded</a>.</p>
<p> <img height=""188"" width=""251"" alt="""" src=""https://cdn.shopify.com/s/files/1/0150/8304/4928/files/HeavyDuty-18_480x480.jpg?v=1584326586"">  <img height=""187"" width=""250"" alt="""" src=""https://cdn.shopify.com/s/files/1/0150/8304/4928/files/HeavyDuty-19_480x480.jpg?v=1584326629"">  <img height=""189"" width=""251"" alt="""" src=""https://cdn.shopify.com/s/files/1/0150/8304/4928/files/HeavyDuty-20_480x480.jpg?v=1584326682""></p>
<p>Length: 2-1/2"" </p>
<p>Diameter: 1.72"" O.D. (outside diameter), 1.65"" I.D. (inside diameter).</p>
<p>Opening: <span data-mce-fragment=""1"">Center hole slips 1/8IP</span><br data-mce-fragment=""1""></p>",Color,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-cover,,active,SKCOVCP,Copper,,6,2.50,1.52,$9.12,56.69904625,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-cover,,active,SKCOVNK,Polished Nickel,,20,2.50,1.52,$30.40,56.69904625,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-cover,,active,SKCOVWH,White,,21,2.50,1.56,$32.76,56.69904625,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-porcelain-keyless-grounded-1-4-ips,TRUE,active,SKP1-4IPSGNDK,Default Title,,9,4.00,3.29,$29.61,170.0007504,"SOCKET: PORCELAIN, KEYLESS, GROUNDED, 1/4 IPS",Sundial Wire,,Sockets,"1/4 IPS sockets, grounded sockets, keyless sockets, porcelain sockets, sockets","<div id=""product-detail"">
<p>This is a grounded, keyless porcelain socket with a ground screw. It has a 1/4 IPS opening in the cap.</p>
<p>Because this socket has a 1/4 IPS cap, it can be used with our 16- and 18-gauge heavy duty pulley cord.</p>
<p>This product is one socket only. Wire, bulb, and additional sockets are not included.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""</span><br><span><strong>Widest Diameter:</strong> 1.56""</span><br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/4 IPS</span></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-porcelain-duplex,TRUE,active,SKPDUPLEX,Default Title,,5,6.00,3.49,$17.45,141.7476156,SOCKET: PORCELAIN DUPLEX,Sundial Wire,Uncategorized,Sockets,"duplex sockets, keyless sockets, porcelain sockets, sockets","<div id=""product-detail"">
<p>This is a keyless porcelain socket that takes two bulbs hanging horizontally. </p>
<p>This product is one socket only. Wire, bulb, and additional sockets are not included but are available elsewhere on the site.  The socket is pictured installed in our <a href=""/products/bamboo-slatted-trapezoid-pendant"" target=""_blank"" title=""Bamboo Slatted Trapezoid Pendant Light"" rel=""noopener noreferrer"">Bamboo Slatted Trapezoid Pendant Light</a>.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""</span><br><span><strong>Width:</strong> 2.25""</span><br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8 IPS</span></p>
</div>",Title,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
socket-flush-mount-porcelain-sign-receptacle-style,TRUE,active,SKPFM,Default Title,,28,4.00,1.94,$54.32,170.0007504,"SOCKET: FLUSH MOUNT PORCELAIN, SIGN RECEPTACLE STYLE",Sundial Wire,,Sockets,"flush mount sockets, keyless sockets, porcelain sockets, sockets","<div id=""product-detail"">
<p>This is a flush-mount socket, meaning it can be screwed onto a flat surface via two holes in the bottom. This type of socket was originally designed for light-up marquee signs, but can be used for all kinds of designs where the socket sits flat on a surface. </p>
<p>This product is the socket only, as shown in the pictures. Wire, bulb, and wooden box are not included.</p>
<h2>Attributes</h2>
<strong>Top Diameter:</strong> 1.5""<br> 
<strong>Bottom Diameter:</strong> 2.25""<br> 
<strong>Made in:</strong> China<br> 
<strong>Type: </strong>medium base<br>
<strong>UL-listed: </strong>250V, 660W</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-porcelain-keyless-grounded,TRUE,active,SKPGNDK,Default Title,,151,4.00,2.98,$449.98,170.0007504,"SOCKET: PORCELAIN, KEYLESS, GROUNDED",Sundial Wire,,Sockets,"grounded sockets, keyless sockets, porcelain sockets, sockets","<div id=""product-detail"">
<p>This is a keyless porcelain socket with a ground screw. </p>
<p>This product is one socket only. Wire, bulb, and additional sockets are not included. The other lamp parts shown in the pictures are available below in the lamp parts and wire listings.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""</span><br><span><strong>Widest Diameter:</strong> 1.56""</span><br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-porcelain-keyless,TRUE,active,SKPKBK,black,,31,5.00,2.24,$69.44,170.0007504,"SOCKET: PORCELAIN, KEYLESS",Sundial Wire,Uncategorized,Sockets,"keyless sockets, porcelain sockets, sockets","<div id=""product-detail"">
<p>This is a keyless porcelain socket available in high-gloss black or brown. </p>
<p>This product is one socket only. Wire, bulb, and additional sockets are not included. The other lamp parts shown in the pictures are available below in the related products listings.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""</span><br><span><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Color,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-porcelain-keyless,,active,SKPKBN,brown,,0,5.00,2.24,$0.00,170.0007504,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
socket-interior-push-through,TRUE,active,SKPTINT,Default Title,,183,1.25,,$0.00,17.00971388,"SOCKET INTERIOR, PUSH-THROUGH",Sundial Wire,,,"misc lamp parts, miscellaneous","<p>This is the interior of a socket, the part that has the on-off, in this case push-through, switch, the terminals to which you connect the wires, and the opening to screw in the bulb.  It is intended for those making their own sockets, which we do not recommend except for experienced electricians and lighting creators.</p>
<p>This product is for one socket interior.  Three are pictured to show the different sides of the socket interior.</p>",Title,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
socket-ring-black-bakelite-shade-support-ring,TRUE,active,SKRINGBKBK,Default Title,,260,1.00,,$0.00,28.00082399,SOCKET RING: BLACK BAKELITE SHADE SUPPORT RING,Sundial Wire,,Sockets,"Bakelite sockets, socket rings, sockets","<div id=""product-detail"">
<p>This is a Bakelite look-alike socket ring used with Bakelite threaded sockets for shade support, outside diameter 2.1"". The threading on this ring is NOT UNO threading, and it will not go on a socket with UNO threading.</p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-support-ring-for-4-piece-socket-with-uno-threads,TRUE,active,SKRINGCBK,black,,98,3.00,0.20,$19.60,85.00037519,SOCKET RING: SHADE SUPPORT RING for 4-PIECE SOCKET with UNO THREADS,Sundial Wire,Uncategorized,Sockets,"4-piece metal sockets, socket rings, sockets, UNO sockets","<div id=""product-detail"">
<p>This is a brass socket ring available in brass or black, antique brass, or nickel finish for use with our 4-piece UNO-threaded sockets for shade support, 1.55"" outside diameter. This ring will not screw onto threaded Bakelite sockets.</p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-support-ring-for-4-piece-socket-with-uno-threads,,active,SKRINGCBR,brass,,40,3.00,0.20,$8.00,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-support-ring-for-4-piece-socket-with-uno-threads,,active,SKRINGCBZ,dark antique brass,,93,3.00,0.20,$18.60,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
shade-support-ring-for-4-piece-socket-with-uno-threads,,active,SKRINGCNK,nickel,,99,3.00,0.20,$19.80,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-with-dimmer-switch,,active,SKSDBK,black,,13,10.50,5.50,$71.50,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-with-dimmer-switch,TRUE,active,SKSDBR,brass,,27,10.50,5.50,$148.50,170.0007504,SOCKET: 3-PIECE with DIMMER SWITCH,Sundial Wire,,Sockets,"3-piece metal sockets, dimmer sockets, sockets","<div id=""product-detail"">
<p>This is a 3-piece brass socket available in brass, black or nickel finishes with a dimmer switch. When you turn the switch, instead of clicking, it turns smoothly, dimming the light as you turn. </p>
<p>This product is the socket only.</p>
<h2>Attributes</h2>
<div class=""product-attribute attribute-made-in""><span class=""product-attribute-value attribute-made-in-value""><strong></strong></span></div>
<div class=""product-attribute attribute-made-in""><span class=""product-attribute-value attribute-made-in-value""><strong>UL:</strong><span> </span><span>UL-listed, 120V, 150W</span></span></div>
<div class=""product-attribute attribute-made-in""><span class=""product-attribute-value attribute-made-in-value""><span class=""product-attribute-name attribute-made-in-name""><strong>Made in:</strong></span><span> </span>China<span><br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></span></div>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-with-dimmer-switch,,active,SKSDNK,nickel,,31,10.50,5.50,$170.50,170.0007504,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-keyless-1-4-ips,TRUE,active,SKSK1-4BR,brass,,39,6.75,,$0.00,85.00037519,"SOCKET: 3-PIECE, KEYLESS, 1/4 IPS",Sundial Wire,,Sockets,"1/4 IPS sockets, 3-piece metal sockets, keyless sockets, sockets","<div id=""product-detail"">
<p>This is a keyless 3-piece brass socket available in brass or nickel finishes, with a 1/4 IPS wire opening. </p>
<p>This product is the socket only, as shown in the center picture. Wire, bulb and strain relief are not included.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/4 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-keyless-1-4-ips,,active,SKSK1-4NK,nickel,,24,6.75,,$0.00,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-keyless,,active,SKSKBK,black,,84,6.00,2.35,$197.40,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-keyless,TRUE,active,SKSKBR,brass,,40,6.00,2.35,$94.00,85.00037519,"SOCKET: 3-PIECE, KEYLESS",Sundial Wire,Uncategorized,Sockets,"3-piece metal sockets, keyless sockets, sockets","<div id=""product-detail"">
<p>This is a keyless 3-piece brass socket available in brass, black, or nickel finishes. </p>
<p>This product is the socket only, as shown in the center picture. Wire, bulb and strain relief are not included.</p>
<h2>Attributes</h2>
<p><strong>UL:</strong><span> </span><span>UL-listed, 250V, 660W</span><br><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 2.25""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-keyless,,active,SKSKNK,nickel,,30,6.00,2.35,$70.50,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-on-off-switch,,active,SKSOBK,black,,3,8.00,4.20,$12.60,113.0011992,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-on-off-switch,TRUE,active,SKSOBR,brass,,0,8.00,2.55,$0.00,113.0011992,SOCKET: 3-PIECE with ON/OFF TURN KNOB,Sundial Wire,Uncategorized,Sockets,"3-piece metal sockets, on-off sockets, sockets","<div id=""product-detail"">
<p>This is a 3-piece brass socket with on/off turn knob, available in brass or black or nickel finishes. </p>
<p>This product is the socket only.</p>
<h2>Attributes</h2>
<div class=""product-attribute attribute-made-in""><span class=""product-attribute-value attribute-made-in-value""><strong>UL:</strong><span> </span><span>UL-listed, 120V, 150W</span></span></div>
<div class=""product-attribute attribute-made-in""><span class=""product-attribute-value attribute-made-in-value""><span class=""product-attribute-name attribute-made-in-name""><strong>Made in:</strong></span><span> </span>China<br><span><strong>Height:</strong> 2.75""<br><strong>Type: </strong>medium base<br><strong>Connector Size: </strong>1/8-27 IPS</span></span></div>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
socket-3-piece-on-off-switch,,active,SKSONK,nickel,,11,8.00,2.55,$28.05,113.0011992,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
custom-cloth-covered-wire-samples-selection,TRUE,active,SMPCUST4,4-inch sample,,9999912,1.25,,$0.00,51.02914163,Custom Cloth-Covered Wire Samples Selection,Sundial Wire,,Wire,samples,"<p>Select just one sample or create a customized cloth-covered wire sample packet of 4-inch or foot-long length.</p>
<p>IMPORTANT: In the quantity box above, enter the<span> </span><b>NUMBER OF WIRES FOR WHICH YOU WOULD LIKE A SAMPLE.</b><span> </span>The price listed is for each section of wire, not for a collection of wires. If you want more than two or three wires, you will probably be better off selecting one or more of our <a href=""/products/cloth-covered-wire-samples-pack"">complete sample packs</a>. </p>
<p>PLEASE NOTE: IF YOU ENTER 1 IN THE QUANTITY SECTION, YOU WILL GET ONLY ONE SECTION OF ONE WIRE.</p>
<p>Then, when you place your order<span> </span><b>LIST THE WIRES YOU WANT TO SAMPLE IN THE CUSTOMER NOTES SECTION WHICH APPEARS IN THE FULL CART (not the cart that is an overlay on your page - click on View Cart from this overlay cart).</b><span> </span>If for some reason you forget to put the information in that section, you can send us an e-mail at<span> </span><a href=""mailto:custserv@sundialwire.com"">custserv@sundialwire.com</a>.</p>
<p><b>Free Shipping</b><span> </span><span>applies when ordering only samples (no non-sample products in your order) and only applies to domestic orders. Your samples will be sent via the USPS, First Class. </span></p>",Samples Length,,,,,,,,continue,manual,,TRUE,TRUE,,,,oz,
custom-cloth-covered-wire-samples-selection,,active,SMPCUSTF,foot-long sample,,9999924,2.00,,$0.00,51.02914163,,,,,,,,,,,,,,,continue,manual,,TRUE,TRUE,,,,oz,
